Name,Action,Company Hook,Company Lens,Metrics to Mention,Notes,Red Flags to Avoid,Result,Situation,Task,Traits
Tell me about yourself (1-2 minutes),"Use 3-part arc: Present (current impact), Past (how you got here), Future (why this role). Keep it role-relevant.","Amazon: mention 1 LP you embody; Microsoft: growth mindset; Atlassian: open, team-first; Uber: do the right thing; Google: collaboration and curiosity.",Generic + tailor per company,"Impact metric (latency -X%, cost -Y, adoption +Z users)",Keep to 90 seconds; end with a question back (role alignment).,Life story; tools dump; no impact signal.,Interviewer gets a crisp narrative that sets up your strongest evidence for the rest of the loop.,Joined as SWE; quickly became the person owning {area} that impacted {customer/system}.,"Summarize trajectory: scope growth, key strengths, why this role now.",clarity; ownership; learning
Why do you want to work here?,"Name 2 concrete reasons: (1) product/mission fit, (2) how your skills map to a team problem; cite a recent initiative or platform focus.",Amazon: tie to customer obsession/ownership; Atlassian: customer + team practices; Microsoft: empowerment mission; Uber: reimagine movement + integrity.,Company-specific,1 customer outcome + 1 technical area you match,Use one line that references their published values/principles.,Generic flattery; no specifics; compensation-only.,They believe you are intentional and likely to accept.,You researched product + culture; you see a specific problem space match.,Show credible interest beyond brand.,motivation; values alignment
Biggest strength,"State strength as behavior, then STAR proof: e.g., 'I turn ambiguous problems into shipped outcomes'.",Amazon: Deliver Results + Bias for Action; Microsoft: learn-it-all; Atlassian: be the change.,Generic + company lens,Time-to-ship; defect rate; stakeholder NPS,Strength should be relevant to target role.,Listing adjectives only.,Clear signal you can repeat the behavior at their scale.,You were repeatedly trusted with {hard thing} across teams.,Prove strength with evidence.,self-awareness; execution
Biggest weakness,"Name a real but non-fatal weakness; explain system you built to mitigate (checklists, review rituals, mentorship, training).",Microsoft: explicit growth mindset; Amazon: Learn and Be Curious; Google: coachability.,Generic + company lens,Before/after metric (missed deadlines -> on-time %).,End with what you will do in next 30 days to keep improving.,Fake weakness ('too hardworking'); blaming others.,Weakness is controlled; growth is observable.,"Earlier, you noticed {weakness} causing {cost}.",Show you can self-correct without drama.,growth mindset; honesty
Tell me about a failure,"Explain root cause (process gap), immediate mitigation (rollback/feature flag), and permanent fix (tests, monitoring, runbooks). Share what you learned.",Amazon: Dive Deep + Insist on Highest Standards; Atlassian: blameless learning; Uber: do the right thing.,Generic + company lens,MTTR; incident count; SLO/latency improvement,Include what you would do differently today.,Minimizing; externalizing blame; no fix.,No repeat incidents; reliability improved.,A release caused {incident} or a project missed a key requirement.,Own it and show corrective action.,ownership; resilience; learning
Conflict with a teammate,Separate person from problem; align on shared goal; propose data-driven experiment; document decision; ensure psychological safety.,"Atlassian: open company, no bullshit (but caring); Google: collaborative; Microsoft: one Microsoft.",Generic + company lens,Cycle time; rework reduced; stakeholder clarity,Show listening and tradeoff framing.,'I was right'; attacking character; vague outcome.,Decision made; relationship strengthened; delivery on track.,Disagreement on design/priority created tension.,Resolve without escalation first.,collaboration; empathy; communication
Disagree with your manager,"Bring data (metrics, risks), offer 2 options with tradeoffs, propose a time-boxed spike, commit to final call.","Amazon: Have Backbone, Disagree and Commit; Microsoft: model-coach-care.",Generic + company lens,Risk reduced; decision lead time shorter,"Explicitly say 'I disagreed, then committed once decided'.",Refusing to execute; complaining; politics.,Better decision with buy-in; manager trusts you more.,Manager pushed a direction that risked {customer/tech debt}.,Raise concerns respectfully and propose alternatives.,courage; judgment
Handling ambiguity,"Define success metric, identify constraints, map stakeholders, propose phased plan, validate with quick prototype, then iterate.",Amazon: Dive Deep; Google: structured thinking; Uber: build globally (constraints awareness).,Generic + company lens,Metric delta; adoption; cost; latency,Show you can move from unknowns to a plan fast.,Analysis paralysis; building without alignment.,Clear scope; shipped measurable improvement.,You were given a vague goal: 'improve X'.,Turn it into an executable plan.,ownership; problem framing
Leadership without authority,"Create shared doc, clarify RACI, run decision meeting, unblock via small PRs, recognize contributors, communicate status.",Google: collaboration; Atlassian: play as a team; Microsoft: one Microsoft.,Behavioral HR crossover,On-time delivery; reduced escalations,Name how you gave credit publicly.,Forcing; credit-taking.,Cross-team delivery succeeded; fewer surprises.,You needed alignment across teams for {dependency}.,Drive outcome without being the boss.,influence; leadership
Why should we hire you?,"Give 3 bullets: domain fit, execution proof, collaboration traits; each backed by a metric or story.",Amazon: map to 2-3 LPs; Microsoft: growth + customer obsessed.,Closing,3 quantified wins,Keep it crisp; invite questions.,Overclaiming; no evidence.,Clear hiring signal; memorable close.,You understand their need: {role problem}.,Connect your proof to their needs.,confidence; relevance